stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
770,131st & 301st NE,131ST ST & 301ST ST,41.720143,-83.477913,,,,,,0
771,131st & 302nd SW,131ST ST & 302ND ST,41.720046,-83.47779,,,,,,0
772,131st & 303rd NE,131ST ST & 303RD ST,41.720155,-83.476294,,,,,,0
773,131st & 304th NE,131ST ST & 304TH ST,41.720169,-83.475161,,,,,,0
774,131st & 304th SW,131ST ST & 304TH ST,41.720092,-83.475931,,,,,,0
775,131st & 308th SW,131ST ST & 308TH ST,41.720135,-83.473066,,,,,,0
776,131st & Edgewater NW,131ST ST & EDGEWATER DR,41.720263,-83.470366,,,,,,0
777,131st & Edgewater SW,131ST ST & EDGEWATER DR,41.720211,-83.470269,,,,,,0
779,145th & 319th NE,145TH ST & 319TH ST,41.727896,-83.46214,,,,,,0
780,145th & 321st NE,145TH ST & 321ST ST,41.727932,-83.460614,,,,,,0
781,149th & 147th SW,149TH ST & 147TH ST,41.730719,-83.462089,,,,,,0
782,149th & 317th SE,149TH ST & 317TH ST,41.730702,-83.463723,,,,,,0
783,149th & 324th SW,149TH ST & 324TH ST,41.730751,-83.45853,,,,,,0
784,14th & Jefferson,14TH ST & JEFFERSON AVE,41.655444,-83.544123,,,,,,0
785,290th & 101st NW,290TH ST & 101ST ST,41.70492,-83.486176,,,,,,0
786,290th & 101st SE,290TH ST & 101ST ST,41.7043,-83.486081,,,,,,0
787,290th & 104th NW,290TH ST & 104TH ST,41.706985,-83.486309,,,,,,0
788,290th & 104th SE,290TH ST & 104TH ST,41.706542,-83.486205,,,,,,0
789,290th & 108th SE,290TH ST & 108TH ST,41.708394,-83.486313,,,,,,0
790,290th & Lehman,290TH ST & LEHMAN AVE,41.701928,-83.486047,,,,,,0
791,2nd & South NW,S 2ND ST & SOUTH ST,41.498281,-83.718679,,,,,,0
792,324th & 146th NW,324TH ST & 146TH ST,41.729945,-83.457959,,,,,,0
800,Adams & 12th SW,ADAMS ST & 12TH ST,41.656318,-83.541639,,,,,,0
801,Adams & 14th SW,ADAMS ST & 14TH ST,41.657196,-83.543441,,,,,,0
802,Adams & 17th SW,ADAMS ST & 17TH ST,41.658157,-83.545534,,,,,,0
803,Adams & 20th SW,ADAMS ST & 20TH ST,41.659139,-83.547597,,,,,,0
804,Adams & Ontario SW,ADAMS ST & N ONTARIO ST,41.654837,-83.538472,,,,,,0
805,Adams & Warren NE,ADAMS ST & WARREN ST,41.658943,-83.546825,,,,,,0
806,Airport & Apple,AIRPORT HWY & APPLE AVE,41.630392,-83.600127,,,,,,0
807,Airport & Barclay SW,AIRPORT HWY & BARCLAY DR,41.627967,-83.610113,,,,,,0
808,Airport & Bernath NE,AIRPORT HWY & BERNATH PKWY,41.615449,-83.675985,,,,,,0
809,Airport & Bernath SW,AIRPORT HWY & BERNATH PKWY,41.61515,-83.676762,,,,,,0
810,Airport & Brookview NE,AIRPORT HWY & BROOKVIEW DR,41.6211,-83.639376,,,,,,0
811,Airport & Brookview NEE,AIRPORT HWY & BROOKVIEW DR,41.621756,-83.636642,,,,,,0
812,Airport & Brookview SEE,AIRPORT HWY & BROOKVIEW DR,41.621436,-83.637306,,,,,,0
